"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","170","450398","0.0-7.0-5.26","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","171","450913","0.0-7.0-1.27","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","172","455425","0.0-7.0-2.27","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw042.bmp","0,1,1","noMatchOutcome","i","4500","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","173","459439","0.0-7.0-3.27","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","174","460871","0.0-7.0-4.27","","1432","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw042.bmp","0,1,1","noMatchOutcome","i","4500","trustrating_stim/white_mw042.bmp","red","Keep","REAL","0"
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","175","461392","0.0-7.0-5.27","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","176","461895","0.0-7.0-1.28","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","177","466398","0.0-7.0-2.28","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw042.bmp","0,1,0","noMatchFace","i","4500","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","178","470399","0.0-7.0-3.28","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","179","472993","0.0-7.0-4.28","","2593","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw042.bmp","0,1,0","noMatchFace","i","4500","trustrating_stim/white_mw038.bmp","green","Share","REAL","0"
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","180","473494","0.0-7.0-5.28","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","181","474011","0.0-7.0-1.29","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","182","475519","0.0-7.0-2.29","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw091.bmp","0","Match","e","1500","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","183","479529","0.0-7.0-3.29","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","184","480681","0.0-7.0-4.29","","1152","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw091.bmp","0","Match","e","1500","trustrating_stim/white_mw091.bmp","red","Keep","REAL","1"
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","185","481189","0.0-7.0-5.29","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","186","481694","0.0-7.0-1.30","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","187","484712","0.0-7.0-2.30","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw012.bmp","0,1","noMatchOutcome","i","3000","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","188","488732","0.0-7.0-3.30","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","189","490714","0.0-7.0-4.30","","1981","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw012.bmp","0,1","noMatchOutcome","i","3000","trustrating_stim/white_mw078.bmp","green","Share","REAL","1"
