"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"html-keyboard-response","177","401296","0.0-7.0-2.28","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw092.bmp","1,0","noMatchFace","i","3000","","","","","",""
"html-keyboard-response","178","405296","0.0-7.0-3.28","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","179","405896","0.0-7.0-4.28","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","599","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw092.bmp","1,0","noMatchFace","i","3000","trustrating_stim/white_mw012.bmp","green","Share","REAL","1",""
"html-keyboard-response","180","406397","0.0-7.0-5.28","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","181","406899","0.0-7.0-1.29","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","182","411402","0.0-7.0-2.29","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw085.bmp","0,1,0","Match","e","4500","","","","","",""
"html-keyboard-response","183","415403","0.0-7.0-3.29","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","184","416170","0.0-7.0-4.29","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","767","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw085.bmp","0,1,0","Match","e","4500","trustrating_stim/white_mw085.bmp","red","Keep","REAL","0",""
"html-keyboard-response","185","416672","0.0-7.0-5.29","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","186","417173","0.0-7.0-1.30","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","187","421674","0.0-7.0-2.30","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw091.bmp","0,0,1","Match","e","4500","","","","","",""
"html-keyboard-response","188","425675","0.0-7.0-3.30","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","189","427214","0.0-7.0-4.30","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","1539","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw091.bmp","0,0,1","Match","e","4500","trustrating_stim/white_mw010.bmp","red","Keep","REAL","0",""
"html-keyboard-response","190","427717","0.0-7.0-5.30","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","191","428218","0.0-7.0-1.31","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","192","432719","0.0-7.0-2.31","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw010.bmp","1,0,0","noMatchFace","i","4500","","","","","",""
"html-keyboard-response","193","436721","0.0-7.0-3.31","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","194","437790","0.0-7.0-4.31","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","1068","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw010.bmp","1,0,0","noMatchFace","i","4500","trustrating_stim/white_mw070.bmp","green","Share","REAL","1",""
"html-keyboard-response","195","438290","0.0-7.0-5.31","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","196","438792","0.0-7.0-1.32","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
