PROLIFIC_PID,distFromMedQA_lowMC_ltMADCutOff_goodSub,distFromMedQAAll_lowMC_ltMADCutOff_goodSub,Age,Race,HLS_ethnicity,BirthSex,Education,LEC-A_6,LEC-A_7,LEC-A_8,LEC-A_9,LEC-A_10,LEC-A_11,LEC-A_17,LEC-6-FU-Age,LEC-7-FU-Age,LEC-8-FU-Age,LEC-9-FU-Age,LEC-10-FU-Age,LEC-11-FU-Age,LEC-16-FU-Age,trust_rat_mean,trust_rat_std,trust_subjLR_bOC,trust_subjD_bOC,trust_subjNLL_bOC,trust_subjLRTp_bOC,trust_subjLR_3prm,trust_subjD_3prm,trust_subjp0_3prm,trust_subjNLL_3prm,trust_subjLRTp_3prm,trust_BIC_bOC,trust_BIC_3prm,lott_subjLR_bOC,lott_subjD_bOC,lott_subjNLL_bOC,lott_subjLRTp_bOC,lott_subjLR_3prm,lott_subjD_3prm,lott_subjp0_3prm,lott_subjNLL_3prm,lott_subjLRTp_3prm,lott_BIC_bOC,lott_BIC_3prm,trustDiscrim_fitOffset,trustDiscrim_fitScale,trustDiscrim_fitSlope
63f7b890b9c9e7b19a2e9281,1,1,25,5,2,1,12,0,1,0,0,0,0,0,20,21,,,,,,4.8,1.811451333,0.183771673,0.646918705,201.8642727,4.22E-06,0.18764421,0.681180925,0.432890618,201.1932617,2.10E-06,413.4941492,417.0349291,0.114632813,0.928432728,196.3281715,1.37E-08,0.124582664,0.945892296,0.186950425,196.18542,1.18E-08,402.4219468,407.0192457,1,3.114799706,0.033628866
5f507fb3e29c991f68f5879a,1,1,21,5,2,1,14,0,0,0,0,0,0,0,18,,,,,,,4.866666667,1.81767841,0.063710004,4.54E-05,200.0452617,6.36E-07,4.54E-05,4.54E-05,0.783634391,195.5977194,6.44E-09,409.8561273,405.8438445,0.012510742,4.54E-05,211.7169772,0.227303688,0.006496149,0.999954602,0.675410904,203.41005,2.13E-05,433.1995583,421.4685057,1.178930038,3.68759447,0.023324924
5d69d7e23aed95001b1aa05c,1,1,26,5,2,2,16,0,0,0,0,0,0,0,17,,,,,,,4.6,2.051869755,0.379709002,0.827567097,185.6488987,2.47E-13,0.381371053,0.830971702,0.118112651,185.6172073,2.39E-13,381.0634013,385.8828203,0.358660519,0.195774049,171.3967867,1.30E-19,0.375575225,0.177508044,-0.614228656,170.6354993,5.99E-20,352.5591772,355.9194043,1.000007382,3.965894451,0.016760178
5766d2f7fdff7a0001c1285b,1,1,36,5,1,2,13,0,0,0,0,0,0,0,9,,,,,,,7.05,2.479919354,0.414337668,0.224774054,198.1418628,8.86E-08,0.384124454,0.252532955,1,192.364016,2.34E-10,406.0493294,399.3764378,0.439066052,4.54E-05,162.9513593,2.54E-23,0.029596206,4.54E-05,1,151.6722154,2.90E-28,335.6683224,317.9928367,1,2.03024459,0.086566741
6127e94c6abf253c484b38b7,1,1,27,5,2,2,16,0,0,1,1,0,0,0,13,,27,27,,,,4.866666667,2.473360896,0.514528484,0.613341491,182.4280145,9.32E-15,0.53923761,0.602536495,-0.723044526,181.6170418,4.09E-15,374.6216329,377.8824894,0.955807301,0.494320701,170.8123938,7.17E-20,0.962293368,0.494802667,0.319615681,170.6656448,6.18E-20,351.3903914,355.9796954,1,3.069649649,0.019268032
6400dc45648545e7ca8f35a6,0,0,33,2,2,1,16,1,0,0,0,0,0,0,20,,,,,,,5,0,0.315239718,0.999954602,131.2336213,3.34E-37,0.090173693,0.999954602,-1,124.2730187,3.04E-40,,,0.085094047,0.999954602,198.6175841,1.45E-07,0.098713897,0.999954602,0.243870355,198.2910661,1.03E-07,,,2.333333333,1.333333333,3.25E-18
631e8c52a408a788b7e62e11,1,1,29,5,2,1,16,0,0,0,0,0,0,0,,,,,,,,4.916666667,1.84383229,0.228421575,4.54E-05,166.2886725,7.39E-22,0.083893139,4.54E-05,1,156.5240751,3.87E-26,342.3429487,327.6965559,0.501727984,4.54E-05,158.8809555,4.17E-25,0.29700419,4.54E-05,1,150.417265,8.19E-29,327.5275149,315.4829357,3.230380733,0.084693757,0.084538475
5f721a81ee2a860fe028a8a4,1,1,25,5,2,1,13,1,0,0,1,0,0,0,20,,,22,,,,4.9,1.068818451,0.413037928,4.54E-05,142.9740789,4.53E-32,4.54E-05,4.54E-05,1,117.4345582,3.14E-43,295.7137617,249.5175222,0.378647089,0.999954602,148.7213228,1.48E-29,0.136009605,0.999954602,-1,136.2034506,4.96E-35,307.2082494,287.055307,1.694212858,2.270665192,0.051657847
63ea5b93d1c6d38e1f57dcfa,1,1,37,5,2,1,14,0,0,0,0,0,0,0,,,,,,,,5,0,0.463215572,0.551394809,172.1980709,2.91E-19,0.418670733,0.575641441,1,166.177111,6.61E-22,354.1617457,347.0026277,0.437592209,0.785605864,188.7029604,5.54E-12,0.409199727,0.7611874,-1,184.784594,1.02E-13,387.1715246,384.2175938,2.806838118,0.113596757,-0.080794062
6400d9235287137e7b62fd29,1,1,32,5,2,2,12,0,0,1,1,0,0,0,31,26,23,23,,,,3.9,1.230956635,0.00526454,4.54E-05,212.2811845,0.566106979,0.004384503,0.8592938,0.1270255,212.1413072,0.435166624,434.3279728,438.9310201,0.127729999,0.355351019,209.3805296,0.013286556,0.035912065,0.644728267,0.508811794,208.3890015,0.004393425,428.5266631,431.4264089,1.916740921,0.359699888,0.039124217
