"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr"
"html-keyboard-response","87","203755","0.0-7.0-3.10","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","88","205349","0.0-7.0-4.10","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","1592","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","1","trustrating_stim/white_00050_931230_fa_edt.bmp","1","Match","e","","trustrating_stim/white_00050_931230_fa_edt.bmp","green","Share","1"
"html-keyboard-response","89","205852","0.0-7.0-5.10","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","90","206353","0.0-7.0-1.11","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","91","207857","0.0-7.0-2.11","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_00807_941205_fb_edt.bmp","1","Match","e","1500","","","",""
"html-keyboard-response","92","211862","0.0-7.0-3.11","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","93","212748","0.0-7.0-4.11","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","885","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","1","trustrating_stim/white_00807_941205_fb_edt.bmp","1","Match","e","","trustrating_stim/white_00807_941205_fb_edt.bmp","green","Share","1"
"html-keyboard-response","94","213249","0.0-7.0-5.11","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","95","213752","0.0-7.0-1.12","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","96","216758","0.0-7.0-2.12","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw013.bmp","0,1","Match","e","3000","","","",""
"html-keyboard-response","97","220763","0.0-7.0-3.12","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","98","221764","0.0-7.0-4.12","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","1000","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw013.bmp","0,1","Match","e","","trustrating_stim/white_mw012.bmp","red","Keep","1"
"html-keyboard-response","99","222267","0.0-7.0-5.12","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","100","222768","0.0-7.0-1.13","dstesting","bdp_wmem","Mon May 10 2021 11:05:02 GMT-0400 (Eastern Daylight Time)","545512","Match,No Match","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
