PROLIFIC_PID,totalTime,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv,subj2LR_posOC,subj2LR_negOC,subj2p0_3prm,subj2NLL_biasedOC,subj2LRTp_biasedOC,subj2LR_biasedOC
5fd8025bcfda8b1165a0b16e,531.762,0.0151515151515151,0.0,0.1666666666666666,11.18,0.0,0.0,0.1666666666666666,22.04,0.0,0.021453278609547,0.8807970779778824,0.8326741877523545,421.26867098643663,0.0071064044571905,
60fd933d5461857048f9e74c,439.649,0.25,0.0,0.3106060606060606,7.17,0.0,0.0,0.0,21.11,0.0,0.1062370939426802,0.7310585786300049,1.0,391.1808275666076,2.1923802474665135e-16,
60f75a701ac4cfc5c17cceb7,528.771,0.0,0.0,0.3712121212121212,7.42,0.0,0.0,0.1666666666666666,17.54,0.0,0.0492169058917399,0.8807970779778824,0.6719884808559339,415.214794027009,1.0861259897258648e-05,
5e87900b524dca41065df104,336.545,0.5909090909090909,0.0151515151515151,0.0757575757575757,3.13,0.6666666666666666,0.0,0.6666666666666666,12.15,0.0,0.0489911663341248,0.5,1.0,419.3445382385831,0.000866008748884,
5edc0583f16dff0c806bdbb6,420.414,0.3712121212121212,0.0075757575757575,0.5833333333333334,1.59,0.0,0.0,0.3333333333333333,3.62,0.0,0.2348957500567685,0.8807970779778824,1.0,312.10307942811653,5.494804649911776e-51,
608d0831835bd8f85ac9237e,583.844,0.0984848484848484,0.0,0.0909090909090909,18.75,0.0,0.0,0.0,45.17,0.0,0.0518074958933061,0.8807970779778824,1.0,416.8173537171978,5.856461193782469e-05,-0.8289895820845763
6108027a71236aa28a407666,439.409,0.0,0.0,0.3181818181818182,2.01,0.0,0.0,0.5,9.82,0.0,0.0739341745252251,0.1192029220221175,0.7227955665716406,409.4525696274371,2.7475788202620613e-08,
6005fd9c8bbd67931607e518,422.877,0.2878787878787879,0.0,0.7727272727272727,5.68,0.0,0.0,0.1666666666666666,13.49,0.0,0.5989537520419232,0.5,1.0,306.91573636553267,3.002178646824337e-53,
5ee71ce25f11c84a3e909b09,579.666,0.1818181818181818,0.0075757575757575,0.4545454545454545,3.62,0.0,0.0,0.0,18.43,0.0,0.0304218335596758,0.2689414213699951,0.7650612852034288,419.10048899002953,0.000665846938483,
5ec0d47ecf12be4ea2754516,433.187,0.5984848484848485,0.0,0.4166666666666667,3.24,0.0,0.0,0.3333333333333333,6.51,0.0,0.0829114166321817,0.7310585786300049,1.0,402.3020409021847,1.7981055339689487e-11,
63e5be4daa8fac2e51d4fe91,336.715,0.1818181818181818,0.0,0.3636363636363636,4.02,0.0,0.0,0.0,10.02,0.0,0.1981705473818358,0.5,0.1449580987120558,359.6235950983845,3.1280310762121853e-30,
60ff4339f5ffb265d16b144f,460.942,0.3484848484848485,0.0,0.0681818181818181,15.28,0.0,0.1666666666666666,0.0,35.83,1.0,0.0097334583583919,0.7310585786300049,0.9721032215479244,424.0942592800832,0.2066560312709549,
63ea4e8c0e9a66f5843ed4ac,277.195,0.6212121212121212,0.0,0.7727272727272727,2.14,0.1666666666666666,0.0,0.8333333333333334,5.87,1.0,0.083436252592896,0.2689414213699951,1.0,404.31894094291465,1.413200849201814e-10,-0.185505168777099
6361769fee0c219b0f1cc480,396.633,0.1515151515151515,0.0,0.4318181818181818,5.05,0.0,0.0,0.8333333333333334,18.58,0.0,0.0135340705713639,0.7310585786300049,0.0950304045903465,311.247233464166,2.32613952386606e-51,
63d13b44f511eff0aef876f2,349.689,0.1515151515151515,0.0,0.4848484848484848,7.25,0.0,0.0,0.0,20.17,0.0,0.0463610196616782,0.1192029220221175,0.3544912121528866,389.2212729122461,3.0057555689205825e-17,
61021c2ad3b0633be797eddf,587.894,0.0,0.0075757575757575,0.0151515151515151,15.36,0.0,0.0,0.0,78.61,0.0,0.0196339151740412,0.1192029220221175,0.8961628388521583,423.09137459672985,0.0577632879204566,
5fe354a2e44df4fb4634bbc3,397.853,0.1136363636363636,0.0,0.3484848484848485,12.01,0.0,0.0,0.0,29.4,0.0,0.0498984629688187,0.8807970779778824,1.0,414.5429013614222,5.378856637046231e-06,
5d5a48a67ca41f0001e97f8b,407.271,0.2575757575757575,0.0,0.1666666666666666,16.33,0.0,0.0,0.1666666666666666,10.74,0.0,0.0065536078420701,0.5,0.7359427748596366,408.4422400847824,9.70862917276916e-09,
5d9303bbc400a90018821b13,351.945,0.3863636363636363,0.0,0.4090909090909091,9.2,0.0,0.0,0.0,16.86,1.0,0.0990519920268241,0.1192029220221175,-0.1134030335302285,361.5423240616936,2.1624533114202058e-29,
63f77d4f671167ec16eee15c,414.47,0.1212121212121212,0.0,0.1969696969696969,4.34,0.0,0.0,0.0,20.32,0.0,0.0260392982075591,0.8807970779778824,1.0,422.5255646759412,0.0296049173922923,-0.8547577797703233
63e576170eb086a90644efb4,371.285,0.0833333333333333,0.0,0.4924242424242424,2.48,0.0,0.0,0.3333333333333333,15.7,1.0,0.0312899687277277,0.7310585786300049,1.0,421.06093211873065,0.0056416164962981,
60d2d061fd054556769ca306,373.885,0.1742424242424242,0.0,0.4318181818181818,6.09,0.0,0.0,0.1666666666666666,3.03,0.0,0.0447809088310684,0.5,1.0,419.87853331047467,0.0015433319148524,
5fb7c9fa2be0a83d8f8913b8,368.783,0.0075757575757575,0.0,0.3939393939393939,2.27,0.0,0.0,0.1666666666666666,13.56,0.0,0.007707397013753,0.2689414213699951,0.5072598833206708,378.48703053323936,5.758809608596844e-22,
63bda65b774a91e291c5b1a8,603.434,0.0984848484848484,0.0,0.3409090909090909,10.94,0.0,0.0,0.0,40.09,0.0,0.0644794513264508,0.7310585786300049,1.0,410.6651662278175,9.600658142769177e-08,
63e857fe022e159687d56f41,387.508,0.7954545454545454,0.0,0.9621212121212122,9.46,0.0,0.0,0.0,4.25,0.0,0.9999546021312976,0.1192029220221175,1.0,168.3422982633095,1.3429114270580728e-113,
5bb94dea3ea7ed00017cb109,458.949,0.0,0.0,0.0833333333333333,5.46,0.0,0.0,0.1666666666666666,24.73,0.0,0.0689681177792226,0.7310585786300049,0.2999971916151154,391.7998965297977,4.1085307528322083e-16,
63d73bfc8765da5b8a06f465,889.495,0.0,0.0075757575757575,0.0833333333333333,31.51,0.0,0.1666666666666666,0.1666666666666666,75.31,0.0,0.0439750131749732,0.7310585786300049,1.0,413.5999094336077,2.012158120796841e-06,-0.6870835654550316
628419137c4c3ded72e4874d,493.129,0.0,0.0,0.2575757575757575,7.07,0.0,0.0,0.3333333333333333,11.61,0.0,0.0036131747704316,0.1192029220221175,0.9030412583124132,420.166103476335,0.0021103276791603,
63e711bb284d2bc894a057a6,737.706,0.0,0.0,0.1363636363636363,12.1,0.0,0.0,0.1666666666666666,37.88,0.0,0.0040277223937636,0.1192029220221175,1.0,424.2114772637353,0.2434918654096642,
60ed200c728ab881912aac11,501.282,0.053030303030303,0.0,0.5227272727272727,31.63,0.0,0.0,0.0,22.43,0.0,0.0529603072746802,0.2689414213699951,0.7907961414405494,415.2132000547597,1.0843142811064958e-05,
