"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs"
"image-keyboard-response","43","81346","0.0-6.0-1.19","","3348","","","","rating","","trustrating_stim/white_00807_941205_fb_edt.bmp","5",""
"image-keyboard-response","44","81556","0.0-6.0-2.19","","null","","","","ratingFB","","trustrating_stim/white_00807_941205_fb_edt.bmp","null",""
"image-keyboard-response","45","83946","0.0-6.0-1.20","","2271","","","","rating","","trustrating_stim/white_mw033.bmp","5",""
"image-keyboard-response","46","84152","0.0-6.0-2.20","","null","","","","ratingFB","","trustrating_stim/white_mw033.bmp","null",""
"image-keyboard-response","47","87583","0.0-6.0-1.21","","3312","","","","rating","","trustrating_stim/white_mw053.bmp","2",""
"image-keyboard-response","48","87800","0.0-6.0-2.21","","null","","","","ratingFB","","trustrating_stim/white_mw053.bmp","null",""
"image-keyboard-response","49","90130","0.0-6.0-1.22","","2215","","","","rating","","trustrating_stim/white_mw099.bmp","3",""
"image-keyboard-response","50","90335","0.0-6.0-2.22","","null","","","","ratingFB","","trustrating_stim/white_mw099.bmp","null",""
"image-keyboard-response","51","94825","0.0-6.0-1.23","","4378","","","","rating","","trustrating_stim/white_00299_940422_fa_edt.bmp","4",""
"image-keyboard-response","52","95036","0.0-6.0-2.23","","null","","","","ratingFB","","trustrating_stim/white_00299_940422_fa_edt.bmp","null",""
"image-keyboard-response","53","96802","0.0-6.0-1.24","","1652","","","","rating","","trustrating_stim/white_mw048.bmp","7",""
"image-keyboard-response","54","97010","0.0-6.0-2.24","","null","","","","ratingFB","","trustrating_stim/white_mw048.bmp","null",""
"image-keyboard-response","55","99105","0.0-6.0-1.25","","1991","","","","rating","","trustrating_stim/white_00602_940928_fb_edt.bmp","3",""
"image-keyboard-response","56","99317","0.0-6.0-2.25","","null","","","","ratingFB","","trustrating_stim/white_00602_940928_fb_edt.bmp","null",""
"image-keyboard-response","57","100789","0.0-6.0-1.26","","1362","","","","rating","","trustrating_stim/white_00120_931230_fa_edt.bmp","3",""
"image-keyboard-response","58","100997","0.0-6.0-2.26","","null","","","","ratingFB","","trustrating_stim/white_00120_931230_fa_edt.bmp","null",""
"image-keyboard-response","59","105354","0.0-6.0-1.27","","4250","","","","rating","","trustrating_stim/white_00340_940422_fa_edt.bmp","3",""
"image-keyboard-response","60","105566","0.0-6.0-2.27","","null","","","","ratingFB","","trustrating_stim/white_00340_940422_fa_edt.bmp","null",""
"image-keyboard-response","61","107651","0.0-6.0-1.28","","1979","","","","rating","","trustrating_stim/white_00761_941201_fb_edt.bmp","6",""
"image-keyboard-response","62","107855","0.0-6.0-2.28","","null","","","","ratingFB","","trustrating_stim/white_00761_941201_fb_edt.bmp","null",""
"image-keyboard-response","63","109260","0.0-6.0-1.29","","1292","","","","rating","","trustrating_stim/white_mw084.bmp","5",""
"image-keyboard-response","64","109474","0.0-6.0-2.29","","null","","","","ratingFB","","trustrating_stim/white_mw084.bmp","null",""
"image-keyboard-response","65","111376","0.0-6.0-1.30","","1792","","","","rating","","trustrating_stim/white_00109_931230_fa_edt.bmp","4",""
"image-keyboard-response","66","111586","0.0-6.0-2.30","","null","","","","ratingFB","","trustrating_stim/white_00109_931230_fa_edt.bmp","null",""
"image-keyboard-response","67","113885","0.0-6.0-1.31","","2185","","","","rating","","trustrating_stim/white_00602_940928_fb_edt.bmp","4",""
"image-keyboard-response","68","114093","0.0-6.0-2.31","","null","","","","ratingFB","","trustrating_stim/white_00602_940928_fb_edt.bmp","null",""
"image-keyboard-response","69","116559","0.0-6.0-1.32","","2352","","","","rating","","trustrating_stim/white_mw066.bmp","2",""
"image-keyboard-response","70","116761","0.0-6.0-2.32","","null","","","","ratingFB","","trustrating_stim/white_mw066.bmp","null",""
"image-keyboard-response","71","118233","0.0-6.0-1.33","","1366","","","","rating","","trustrating_stim/white_mw049.bmp","3",""
"image-keyboard-response","72","118437","0.0-6.0-2.33","","null","","","","ratingFB","","trustrating_stim/white_mw049.bmp","null",""
"image-keyboard-response","73","120198","0.0-6.0-1.34","","1647","","","","rating","","trustrating_stim/white_mw097.bmp","7",""
"image-keyboard-response","74","120406","0.0-6.0-2.34","","null","","","","ratingFB","","trustrating_stim/white_mw097.bmp","null",""
"image-keyboard-response","75","121823","0.0-6.0-1.35","","1303","","","","rating","","trustrating_stim/white_00129_931230_fb_edt.bmp","6",""
"image-keyboard-response","76","122028","0.0-6.0-2.35","","null","","","","ratingFB","","trustrating_stim/white_00129_931230_fb_edt.bmp","null",""
"image-keyboard-response","77","123445","0.0-6.0-1.36","","1295","","","","rating","","trustrating_stim/white_00757_941201_fa_edt.bmp","6",""
"image-keyboard-response","78","123650","0.0-6.0-2.36","","null","","","","ratingFB","","trustrating_stim/white_00757_941201_fa_edt.bmp","null",""
"image-keyboard-response","79","126372","0.0-6.0-1.37","","2610","","","","rating","","trustrating_stim/white_mw033.bmp","4",""
"image-keyboard-response","80","126583","0.0-6.0-2.37","","null","","","","ratingFB","","trustrating_stim/white_mw033.bmp","null",""
"image-keyboard-response","81","128141","0.0-6.0-1.38","","1442","","","","rating","","trustrating_stim/white_00519_940519_fb_edt.bmp","2",""
"image-keyboard-response","82","128356","0.0-6.0-2.38","","null","","","","ratingFB","","trustrating_stim/white_00519_940519_fb_edt.bmp","null",""
"image-keyboard-response","83","130307","0.0-6.0-1.39","","1829","","","","rating","","trustrating_stim/white_mw060.bmp","6",""
"image-keyboard-response","84","130519","0.0-6.0-2.39","","null","","","","ratingFB","","trustrating_stim/white_mw060.bmp","null",""
"image-keyboard-response","85","131623","0.0-6.0-1.40","","991","","","","rating","","trustrating_stim/white_mw099.bmp","6",""
"image-keyboard-response","86","131832","0.0-6.0-2.40","","null","","","","ratingFB","","trustrating_stim/white_mw099.bmp","null",""
"image-keyboard-response","87","133220","0.0-6.0-1.41","","1279","","","","rating","","trustrating_stim/white_00340_940422_fa_edt.bmp","6",""
"image-keyboard-response","88","133432","0.0-6.0-2.41","","null","","","","ratingFB","","trustrating_stim/white_00340_940422_fa_edt.bmp","null",""
"image-keyboard-response","89","134862","0.0-6.0-1.42","","1318","","","","rating","","trustrating_stim/white_mw089.bmp","4",""
"image-keyboard-response","90","135071","0.0-6.0-2.42","","null","","","","ratingFB","","trustrating_stim/white_mw089.bmp","null",""
"image-keyboard-response","91","136372","0.0-6.0-1.43","","1181","","","","rating","","trustrating_stim/white_mw053.bmp","3",""
"image-keyboard-response","92","136583","0.0-6.0-2.43","","null","","","","ratingFB","","trustrating_stim/white_mw053.bmp","null",""
"image-keyboard-response","93","138089","0.0-6.0-1.44","","1388","","","","rating","","trustrating_stim/white_00223_940128_fb_edt.bmp","4",""
"image-keyboard-response","94","138297","0.0-6.0-2.44","","null","","","","ratingFB","","trustrating_stim/white_00223_940128_fb_edt.bmp","null",""
"image-keyboard-response","95","139860","0.0-6.0-1.45","","1443","","","","rating","","trustrating_stim/white_00120_931230_fa_edt.bmp","2",""
"image-keyboard-response","96","140075","0.0-6.0-2.45","","null","","","","ratingFB","","trustrating_stim/white_00120_931230_fa_edt.bmp","null",""
"image-keyboard-response","97","142169","0.0-6.0-1.46","","1981","","","","rating","","trustrating_stim/white_00299_940422_fa_edt.bmp","5",""
"image-keyboard-response","98","142375","0.0-6.0-2.46","","null","","","","ratingFB","","trustrating_stim/white_00299_940422_fa_edt.bmp","null",""
"image-keyboard-response","99","146734","0.0-6.0-1.47","","4246","","","","rating","","trustrating_stim/white_00577_940928_fa_edt.bmp","5",""
"image-keyboard-response","100","146938","0.0-6.0-2.47","","null","","","","ratingFB","","trustrating_stim/white_00577_940928_fa_edt.bmp","null",""
"image-keyboard-response","101","148291","0.0-6.0-1.48","","1245","","","","rating","","trustrating_stim/white_mw035.bmp","5",""
"image-keyboard-response","102","148501","0.0-6.0-2.48","","null","","","","ratingFB","","trustrating_stim/white_mw035.bmp","null",""
"image-keyboard-response","103","149847","0.0-6.0-1.49","","1233","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","4",""
"image-keyboard-response","104","150050","0.0-6.0-2.49","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null",""
