PROLIFIC_PID,totalTime,PID,subjLR_3prm,subjD_3prm,subjp0_3prm,subjNLL_3prm,subjLRTp_3prm,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv
5adfcb03f6b58c0001fa9083,641.596,,0.10041963862527972,0.8747994132407753,0.012545132071812275,203.11859266572682,1.566833246317614e-05,0.05303030303030303,0.0,0.4015151515151515,204.61,0.0,0.0,0.3333333333333333,15.95,0.0
5ba863a346de410001ecfb2a,588.623,,0.5272784495288647,0.4309962951377849,0.8030021305235043,198.929848478366,2.0012413204840113e-07,0.045454545454545456,0.015151515151515152,0.25,5.57,0.0,0.0,0.0,20.4,0.0
63d80cb1ba40ad04c1edd4db,463.444,,0.2614037317289503,0.8529674075929263,1.0,191.32215150629744,8.043073619431815e-11,0.0,0.0,0.4318181818181818,8.06,0.0,0.0,0.0,16.66,0.0
560ce65601c38a0012769e20,724.853,,0.043508434141310275,0.8822017843557449,0.4127726270479521,209.27977734268427,0.011857489737253951,0.0,0.0,0.17424242424242425,18.12,0.0,0.0,0.0,32.7,0.0
63ed0065eb23ac3ee1726453,311.008,,0.022703447106832364,4.5397868702434395e-05,-0.11590662564676639,210.94078918323635,0.08275073317563818,0.5454545454545454,0.0,0.09090909090909091,2.63,0.16666666666666666,0.0,0.0,13.92,0.0
5f514708067fba172909261a,585.209,,0.04919778935753338,0.06669395194165306,0.1932659472673936,205.6078932374689,0.00021723333860270197,0.12121212121212122,0.022727272727272728,0.18181818181818182,4.21,0.0,0.0,0.0,17.56,0.0
60599946259dc97d30e2001f,422.716,,0.14598867471375318,0.5682964352720008,0.227532143894707,209.27606173495897,0.011807913262888105,0.03787878787878788,0.0,0.13636363636363635,9.39,0.0,0.0,0.16666666666666666,12.8,0.0
610063614e6ba35532307dda,462.776,,0.6689652869649482,0.8935766401957839,-0.5496462796129117,169.46631763280527,1.8370767101837407e-20,0.0,0.0,0.22727272727272727,7.78,0.0,0.0,0.0,11.06,0.0
63f7becf2322a5ba95aad1dc,448.721,,4.5397868702434395e-05,0.013493774576626568,0.8815447022456099,192.05749662302182,1.7066311862988804e-10,0.5303030303030303,0.0,0.4015151515151515,14.41,0.0,0.0,0.16666666666666666,46.91,0.0
5e6fdd81478ec45b2420b83d,280.962,,0.010208795955256467,0.9999546021312976,0.01751399577643915,212.05818150987466,0.3785990790798831,0.5909090909090909,0.0,0.18181818181818182,3.96,0.3333333333333333,0.0,0.16666666666666666,5.13,0.0
5d7850851841fc0001e9c64d,348.343,,0.13265078753956652,0.5644038372990329,0.015190911185125801,200.66176427456503,1.205711207046305e-06,0.030303030303030304,0.0,0.11363636363636363,2.93,0.0,0.0,0.0,9.32,0.0
5a2846ceb4a5de00011af418,450.729,,0.267975528595206,0.5329958620159427,-0.05070332692160617,198.47545041039513,1.2509020460208758e-07,0.007575757575757576,0.0,0.18181818181818182,14.19,0.0,0.0,0.0,27.66,0.0
611f9bb3dcada21890ed9af0,703.775,,0.33757821999363485,0.6510090382179466,-0.646060126878087,184.892039549012,1.1411290860289656e-13,0.0,0.007575757575757576,0.29545454545454547,26.36,0.0,0.0,0.0,54.56,0.0
64057cd2806cfdca58f0de34,409.082,,0.12734107577093168,0.5123452129789963,-0.06761628342522698,201.2683701161321,2.2663776178822077e-06,0.0,0.0,0.06818181818181818,4.1,0.0,0.0,0.0,17.42,0.0
63d80145d2f0da3ee6a8d523,312.621,,0.037679757182941455,4.5397868702434395e-05,1.0,131.47523399301224,4.261356907965463e-37,0.8257575757575758,0.0,0.8333333333333334,7.19,0.0,0.0,0.0,5.8,0.0
636570d91a49a6d6cbcbc854,755.416,,0.047423556180360184,4.5397868702434395e-05,0.043313184907144586,205.8536124393064,0.0002822915901992517,0.022727272727272728,0.0,0.08333333333333333,44.74,0.0,0.0,0.0,84.76,1.0
6143e0914f93b50419ba30ab,276.559,,0.008990586173462916,0.9999546021312976,0.6332162069287243,204.7030967927196,8.314432085352443e-05,0.7575757575757576,0.0,0.1893939393939394,2.78,0.0,0.0,0.16666666666666666,2.14,1.0
