"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"","","","","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","animation","382","655443","0.0-5.0-2.188","","","","","","37","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":101},{""stimulus"":""img/2to3/2.png"",""time"":209},{""stimulus"":""img/2to3/3.png"",""time"":317},{""stimulus"":""img/2to3/4.png"",""time"":425},{""stimulus"":""img/2to3/5.png"",""time"":533},{""stimulus"":""img/2to3/6.png"",""time"":641},{""stimulus"":""img/2to3/7.png"",""time"":747},{""stimulus"":""img/2to3/8.png"",""time"":856},{""stimulus"":""img/2to3/9.png"",""time"":962},{""stimulus"":""img/2to3/10.png"",""time"":1069},{""stimulus"":""img/2to3/11.png"",""time"":1177},{""stimulus"":""img/2to3/12.png"",""time"":1286}]","[]"
"","","","observe","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","image-keyboard-response","383","655982","0.0-5.0-1.189","","null","","img/3to2/1.png","null","36","538","0.5","0.5","3","1","",""
"","","","","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","animation","384","657381","0.0-5.0-2.189","","","","","","36","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":107},{""stimulus"":""img/3to1/2.png"",""time"":215},{""stimulus"":""img/3to1/3.png"",""time"":322},{""stimulus"":""img/3to1/4.png"",""time"":429},{""stimulus"":""img/3to1/5.png"",""time"":537},{""stimulus"":""img/3to1/6.png"",""time"":646},{""stimulus"":""img/3to1/7.png"",""time"":753},{""stimulus"":""img/3to1/8.png"",""time"":860},{""stimulus"":""img/3to1/9.png"",""time"":968},{""stimulus"":""img/3to1/10.png"",""time"":1075},{""stimulus"":""img/3to1/11.png"",""time"":1184},{""stimulus"":""img/3to1/12.png"",""time"":1291}]","[]"
"","","","observe","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","image-keyboard-response","385","658487","0.0-5.0-1.190","","null","","img/1to3/1.png","null","35","1094","0.5","0.5","1","2","",""
"","","","","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","animation","386","659886","0.0-5.0-2.190","","","","","","35","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":107},{""stimulus"":""img/1to2/2.png"",""time"":215},{""stimulus"":""img/1to2/3.png"",""time"":323},{""stimulus"":""img/1to2/4.png"",""time"":431},{""stimulus"":""img/1to2/5.png"",""time"":538},{""stimulus"":""img/1to2/6.png"",""time"":645},{""stimulus"":""img/1to2/7.png"",""time"":752},{""stimulus"":""img/1to2/8.png"",""time"":859},{""stimulus"":""img/1to2/9.png"",""time"":968},{""stimulus"":""img/1to2/10.png"",""time"":1075},{""stimulus"":""img/1to2/11.png"",""time"":1184},{""stimulus"":""img/1to2/12.png"",""time"":1292}]","[]"
"","","","choice","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","image-keyboard-response","387","681658","0.0-5.0-1.191","","21772","","img/2to1/1.png","2","34","499","0.5","0.5","2","3","",""
"","","","","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","animation","388","683063","0.0-5.0-2.191","","","","","","34","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":114},{""stimulus"":""img/2to3/2.png"",""time"":223},{""stimulus"":""img/2to3/3.png"",""time"":330},{""stimulus"":""img/2to3/4.png"",""time"":438},{""stimulus"":""img/2to3/5.png"",""time"":546},{""stimulus"":""img/2to3/6.png"",""time"":654},{""stimulus"":""img/2to3/7.png"",""time"":762},{""stimulus"":""img/2to3/8.png"",""time"":869},{""stimulus"":""img/2to3/9.png"",""time"":977},{""stimulus"":""img/2to3/10.png"",""time"":1083},{""stimulus"":""img/2to3/11.png"",""time"":1191},{""stimulus"":""img/2to3/12.png"",""time"":1298}]","[]"
"","","","observe","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","image-keyboard-response","389","683802","0.0-5.0-1.192","","null","","img/3to2/1.png","null","33","735","0.5","0.5","3","1","",""
"","","","","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","animation","390","685202","0.0-5.0-2.192","","","","","","33","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":108},{""stimulus"":""img/3to1/2.png"",""time"":216},{""stimulus"":""img/3to1/3.png"",""time"":324},{""stimulus"":""img/3to1/4.png"",""time"":431},{""stimulus"":""img/3to1/5.png"",""time"":540},{""stimulus"":""img/3to1/6.png"",""time"":647},{""stimulus"":""img/3to1/7.png"",""time"":755},{""stimulus"":""img/3to1/8.png"",""time"":863},{""stimulus"":""img/3to1/9.png"",""time"":970},{""stimulus"":""img/3to1/10.png"",""time"":1077},{""stimulus"":""img/3to1/11.png"",""time"":1185},{""stimulus"":""img/3to1/12.png"",""time"":1293}]","[]"
"","","","observe","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","image-keyboard-response","391","685912","0.0-5.0-1.193","","null","","img/1to3/1.png","null","32","707","0.5","0.5","1","2","",""
